Site #,Site Status,Site Activation Date,State,Country
43937,Selected,,AR,USA
43937,Selected,,AR,USA
43935,Selected,,CO,USA
43935,Selected,,CO,USA
43934,Selected,,TX,USA
43934,Selected,,TX,USA
43934,Selected,,TX,USA
43933,Initiated,02-May-2017,ME,USA
43933,Initiated,02-May-2017,ME,USA
43933,Initiated,02-May-2017,ME,USA
43933,Initiated,02-May-2017,ME,USA
43933,Initiated,02-May-2017,ME,USA
43933,Initiated,02-May-2017,ME,USA
43933,Initiated,02-May-2017,ME,USA
43932,Enrolling,29-Jan-2017,PA,USA
43932,Enrolling,29-Jan-2017,PA,USA
43932,Enrolling,29-Jan-2017,PA,USA
43930,Enrolling,08-Mar-2017,IN,USA
43930,Enrolling,08-Mar-2017,IN,USA
43930,Enrolling,08-Mar-2017,IN,USA
43930,Enrolling,08-Mar-2017,IN,USA
43929,Selected,,CA,USA
43929,Selected,,CA,USA
43928,Initiated,28-Mar-2017,NC,USA
43928,Initiated,28-Mar-2017,NC,USA
43928,Initiated,28-Mar-2017,NC,USA
43927,Initiated,14-May-2017,PA,USA
43927,Initiated,14-May-2017,PA,USA
43926,Initiated,03-Apr-2017,MD,USA
43926,Initiated,03-Apr-2017,MD,USA
43926,Initiated,03-Apr-2017,MD,USA
43924,Enrolling,27-Mar-2017,LA,USA
43924,Enrolling,27-Mar-2017,LA,USA
43924,Enrolling,27-Mar-2017,LA,USA
43924,Enrolling,27-Mar-2017,LA,USA
43924,Enrolling,27-Mar-2017,LA,USA
43924,Enrolling,27-Mar-2017,LA,USA
43923,Initiated,27-Apr-2017,SC,USA
43923,Initiated,27-Apr-2017,SC,USA
43923,Initiated,27-Apr-2017,SC,USA
43922,Initiated,26-Jun-2017,PA,USA
43922,Initiated,26-Jun-2017,PA,USA
43922,Initiated,26-Jun-2017,PA,USA
43922,Initiated,26-Jun-2017,PA,USA
43922,Initiated,26-Jun-2017,PA,USA
43918,Selected,,MO,USA
43918,Selected,,MO,USA
43918,Selected,,MO,USA
43918,Selected,,MO,USA
43917,Enrolling,19-Mar-2017,FL,USA
43917,Enrolling,19-Mar-2017,FL,USA
43916,Enrolling,04-May-2017,MN,USA
43916,Enrolling,04-May-2017,MN,USA
43916,Enrolling,04-May-2017,MN,USA
43916,Enrolling,04-May-2017,MN,USA
43916,Enrolling,04-May-2017,MN,USA
43914,Enrolling,28-Mar-2017,LA,USA
43914,Enrolling,28-Mar-2017,LA,USA
